Work Item Type,Title,Description,Acceptance Criteria,Parent
User Story,Listar cuentas de servicio B2B con cuota consumida y SLA,Yo como Admin quiero listar los Customers B2B (tiendas) con su consumo actual para entonces monitorear el cumplimiento contractual y detectar cuentas en riesgo.,"• Lista de Customers B2B con: tienda, plan asignado, consumo del mes (% de la cuota del plan), estado y último uso del API.
• El plan determina la cuota mensual y el SLA contractual; en la lista se muestra solo el nombre del plan, no se exponen sus parámetros derivados.
• Filtros por estado, plan y contacto comercial; búsqueda por nombre de tienda o contacto.
• Indicadores visuales para cuentas con consumo > 80% o cercanas al fin del ciclo.
• Las API keys nunca se exponen en este listado; solo se accede a la información de keys (etiquetas, estados) desde el detalle del Customer B2B con permisos específicos.
Alternos:
• Sin Customers B2B registrados o sin matches del filtro, se muestra estado vacío con CTA para crear o limpiar filtros.
• Consumo en 0% para cuentas nuevas se muestra sin error.
• Si la lista falla al cargar, se ofrece reintentar.",
User Story,Listar usuarios internos Admin y Reviewer con auditoría de actividad,Yo como Admin quiero listar los usuarios internos Admin y Reviewer junto con su actividad reciente para entonces tener trazabilidad operativa del equipo.,"• Lista con alias, rol, estado y fecha de última acción; filtros por rol y estado.
• Por usuario, resumen de últimas acciones administrativas o de revisión.
Alternos:
• Sin usuarios o sin matches del filtro, se muestra estado vacío.
• Si un usuario no tiene actividad reciente, aparece como ‘sin actividad’.
• Si la lista falla al cargar, se ofrece reintentar.",
User Story,Agregar carta al catálogo,Yo como Admin quiero agregar una carta al catálogo de referencia para entonces que el sistema pueda identificarla y evaluarla cuando un usuario la suba.,"• El Admin ingresa los datos de identidad (requeridos): set, número en el set, edición (1st Edition, Unlimited, Shadowless, etc.), idioma y acabado (Holo, Reverse Holo, Full Art, Non-Holo, etc.).
• Datos de display (recomendados): nombre, rareza (Common, Uncommon, Rare, Holo Rare, Ultra Rare, Secret Rare), tipo, HP, ilustrador y año de impresión.
• El Admin sube imagen de referencia (frente; reverso opcional) en formato y tamaño permitidos.
• Al guardar, el sistema autogenera un card_id interno único e inmutable, fecha de creación, autor y deja la carta activa en el catálogo.
• Validaciones: identidad completa; rareza dentro del listado canónico; tipo dentro de los tipos válidos de Pokémon; HP numérico; idioma soportado; imagen con resolución mínima.
• Cada alta queda en auditoría con autor, timestamp y datos ingresados.
Alternos:
• Datos requeridos incompletos o inválidos bloquean el alta y se indican los campos afectados.
• Si ya existe una carta con la misma identidad (set + número + edición + idioma + acabado), se rechaza como duplicado.
• Imagen que no cumple criterios mínimos de resolución o formato se rechaza.",
User Story,Actualizar imagen o atributos de una carta con versionado,"Yo como Admin quiero actualizar la imagen, los atributos o el grado de control de una carta del catálogo preservando el histórico para entonces corregir información o agregar/ajustar ground truth sin perder trazabilidad de versiones.","• El Admin puede modificar atributos de identidad (set, número, edición, idioma, acabado), de display (nombre, rareza, tipo, HP, ilustrador, año) y de ground truth (grado PSA confirmado, número de certificado, fecha de certificación).
• La imagen de referencia puede reemplazarse o complementarse (agregar reverso si solo había frente).
• El card_id interno NO es editable y permanece estable en todas las versiones.
• Cada cambio crea una nueva versión en el histórico de la carta sin sobrescribir la anterior; queda registrado autor, timestamp, campo modificado, valor anterior y valor nuevo.
• Las evaluaciones existentes referencian la versión exacta que estaba activa al momento de evaluar (inmutabilidad referencial).
• Validaciones idénticas a las del alta (incluyendo escala 1.0-10.0 para grado PSA y unicidad del certificado).
Alternos:
• Si los nuevos atributos generan duplicado de identidad con otra carta del catálogo, se rechaza la actualización.
• Si el certificado PSA ingresado ya existe en otra carta, se rechaza por duplicado.
• Imagen que no cumple criterios mínimos se rechaza y la versión anterior permanece activa.
• Cualquier intento de modificar el card_id interno se bloquea con mensaje claro.
• Cambios en ground truth (PSA grade) actualizan la suite de calibración en el siguiente release del algoritmo.",
User Story,Inactivar o reactivar variante del catálogo (soft delete),Yo como Admin quiero inactivar o reactivar variantes del catálogo desde el listado de cartas para entonces retirar entradas obsoletas o erróneas preservando el histórico de evaluaciones.,"• La acción se ejecuta sobre una carta seleccionada desde la exploración del catálogo en modo Admin (2.4.1 con filtro que incluye cartas inactivas) o desde búsqueda directa por card_id, set+número o nombre.
• El detalle muestra estado actual y historial de cambios de estado.
• Inactivar y reactivar requieren motivo obligatorio y quedan en auditoría inmutable con autor, timestamp, valor anterior y motivo.
• Una carta inactiva no aparece en búsquedas de identificación ni en el álbum público de Submitters; sí permanece visible para Admin con indicador de estado.
• Las evaluaciones históricas asociadas a la carta inactivada siguen accesibles y consistentes con la versión que estaba activa cuando se evaluó.
Alternos:
• El borrado físico nunca se permite; solo cambio de estado.
• Si la carta ya está en el estado solicitado, la operación se ignora y se informa el estado actual.
• Si el Admin no encuentra la carta, debe activar el filtro de cartas inactivas en el listado.",
User Story,Cargar archivo del set o expansión con validación batch y reporte de conflictos,Yo como Admin quiero cargar masivamente un set o expansión completa al catálogo para entonces incorporar muchas cartas de forma eficiente al lanzar nuevos sets de Pokémon.,"• Formato del archivo: ZIP que contiene un manifest.csv (UTF-8) y una carpeta /images con las imágenes de referencia.
• Columnas del manifest.csv: set, número, edición, idioma, acabado, nombre, rareza, tipo, HP, ilustrador, año, image_filename (referencia al archivo dentro de /images).
• Restricciones del archivo: máximo 5000 filas por manifest, máximo 200 MB de tamaño total, máximo 5 MB por imagen individual.
• Restricciones de imagen: formato JPEG o PNG, resolución mínima requerida, una imagen por carta (frente).
• Validación fila por fila contra las mismas reglas del alta individual (2.1.1); el reporte detalla filas válidas, con error (con motivo del campo afectado) y duplicados con catálogo existente.
• Las cartas no se incorporan al catálogo hasta que el Admin confirme la importación (paso 2.2.2).
• Cada carga genera un batch_id que queda en auditoría con: nombre del archivo, hash, total de filas, conteo por estado, autor, timestamps y resultado.
Alternos:
• Formato del archivo inválido (no es ZIP, no contiene manifest.csv, columnas faltantes) bloquea la carga con mensaje específico.
• Si el archivo excede los límites de tamaño o filas, se rechaza con mensaje claro.
• Si todas las filas tienen errores críticos, no se ofrece la opción de confirmar; el reporte queda como referencia.
• Si una imagen referenciada en image_filename no existe en /images, esa fila se marca como error.
• El archivo procesado se conserva en almacenamiento temporal por 30 días para reimportación o auditoría; luego se archiva o purga según política.",
User Story,Confirmar importación tras revisar el reporte de validación,Yo como Admin quiero confirmar la importación tras revisar el reporte para entonces controlar qué cartas entran al catálogo permitiendo importación parcial cuando hay filas con error.,"• El Admin revisa el reporte y elige confirmar la importación parcial: solo las filas válidas se incorporan; las erróneas y duplicados quedan en el reporte para corrección manual.
• Cada carta importada recibe card_id interno autogenerado, fecha de creación y queda asociada al batch_id de la importación.
• Al confirmar, se actualiza el registro de auditoría del batch con conteo final de incorporadas y descartadas.
Alternos:
• Si el Admin cancela, ninguna carta del archivo se incorpora y el batch queda como ‘cancelado’ en auditoría.
• Si durante la importación una carta válida ya fue agregada por otro Admin (ínterin), esa fila se omite y se informa en el reporte final.
• Si la confirmación falla a mitad del proceso, las cartas ya importadas quedan en el catálogo y el batch queda en estado ‘parcialmente confirmado’ con detalle del corte.",
User Story,"Notificar resumen de cartas importadas, rechazadas y duplicados resueltos",Yo como Admin quiero recibir el resumen tras una importación masiva para entonces tener visibilidad del resultado sin monitorear el proceso.,"• Al cerrar la importación, se notifica con conteos de importadas, rechazadas y duplicados resueltos, más enlace al reporte completo.
• El resumen queda accesible en la auditoría del catálogo.
Alternos:
• Si la importación falla por completo, la notificación describe el motivo y enlaza al reporte de fallo.",
User Story,"Auditar cambios del catálogo (quién, qué, cuándo, por qué)",Yo como Admin quiero auditar todos los cambios del catálogo para entonces tener trazabilidad operativa y de cumplimiento.,"• Toda acción (alta, actualización, inactivación, reactivación, importación masiva) genera entrada inmutable de auditoría con autor, fecha, tipo de cambio y motivo.
• La auditoría es consultable con filtros por carta, autor, tipo y rango de fechas.
Alternos:
• Auditoría de una carta inexistente devuelve estado vacío.",
User Story,Explorar álbum del catálogo,"Yo como Submitter o Admin quiero explorar el álbum del catálogo de PokéGrading para entonces entender qué cartas reconoce el sistema y, en el caso de Admin, gestionar el catálogo.","• Navegación por sets y expansiones con filtros por set, edición, idioma, acabado y rareza.
• Búsqueda por nombre, número de carta o (para Admin) por card_id interno.
• Resultados con miniatura, nombre, set y número; para Admin se incluye estado (activa/inactiva) y se ofrecen acciones contextuales (editar, inactivar/reactivar).
• Filtro adicional para Admin: incluir cartas inactivas en los resultados.
Alternos:
• Sin resultados, estado vacío con sugerencias para ajustar la búsqueda.
• Para Submitters, las cartas inactivas nunca aparecen; para Admin, aparecen solo si activa explícitamente el filtro.",
User Story,Ver detalle de carta del catálogo con su metadata,"Yo como Submitter o Admin quiero ver el detalle de una carta del catálogo con toda su metadata e historial para entonces conocer sus atributos y, en el caso del Admin, auditar cómo evolucionó la entrada.","• El detalle muestra imagen de referencia y metadata completa: set, número, edición, idioma, acabado, rareza, tipo, HP, ilustrador, año y población conocida en grading profesional cuando exista.
• Desde el detalle se puede iniciar una evaluación o agregar a watchlist.
• Para Admin: sección adicional con historial de cambios de la carta (cada versión con autor, timestamp, campo modificado, valor anterior y valor nuevo) y estado actual (activa/inactiva).
• Para Admin desde el detalle: acciones contextuales para editar, inactivar o reactivar.
Alternos:
• Si la carta fue inactivada mientras el Submitter la veía, las acciones se deshabilitan y se informa.
• Para Submitter, las cartas inactivas no son accesibles desde el detalle público.",
User Story,Capturar frente y reverso con overlay y feedback en vivo,Yo como Submitter quiero capturar el frente y el reverso de mi carta con guía visual en vivo para entonces obtener imágenes que el sistema pueda procesar correctamente.,"• Overlay con guía de posicionamiento y feedback en vivo de encuadre, iluminación y enfoque.
• Formatos aceptados: JPEG y PNG (también HEIC en dispositivos iOS).
• Tamaño por imagen: máximo 10 MB; resolución mínima 1024×1024 píxeles, máxima 4096×4096 píxeles.
• Se requieren ambas tomas (frente y reverso) para enviar la carta; cada una se confirma cuando supera los criterios mínimos visuales.
Alternos:
• Si la toma no cumple los criterios, el sistema indica qué corregir (borroso, mal encuadre, iluminación insuficiente, resolución fuera de rango) y solicita repetir.
• Si el archivo está fuera de los formatos o tamaños permitidos al subir desde galería en vez de cámara, se rechaza con mensaje específico.
• El usuario puede repetir cuantas veces necesite o cancelar la captura.",
User Story,"Enviar carta para evaluación (validación del archivo, Image Quality Score y almacenamiento aislado)",Yo como Submitter quiero enviar mi carta capturada para evaluación para entonces obtener un grado estimado y una recomendación.,"• Envío disponible una vez completadas ambas tomas (frente y reverso).
• Validación del archivo: formato (JPEG/PNG/HEIC), tamaño (máx 10 MB) y detección de polyglot (archivos maliciosos disfrazados de imagen).
• Image Quality Score sobre el umbral mínimo es requisito para aceptar el envío.
• Tras aceptar, se confirma recepción al usuario y se genera identificador único de evaluación.
• Las imágenes se almacenan según política de retención.
Alternos:
• Archivo corrupto, formato no soportado o tamaño excedido: rechazo con causa específica.
• Polyglot detectado: rechazo con mensaje de seguridad y registro del intento en auditoría.
• IQS bajo el umbral: rechazo indicando la causa (borroso, mal encuadre, iluminación) y opción de recapturar.
• Sistema saturado: se acepta el envío y se informa el tiempo estimado.
• Fallo de red en el envío: opción de reintentar sin perder la captura.",
User Story,Realizar búsqueda rápida de carta,Yo como Submitter quiero que el sistema identifique automáticamente mi carta con una búsqueda rápida para entonces no tener que ingresar manualmente sus atributos.,"• Búsqueda rápida sobre el catálogo a partir de las imágenes capturadas.
• Devuelve los 3 mejores candidatos con su nivel de confianza.
• Si el candidato top supera el umbral configurado, se acepta automáticamente y avanza al siguiente paso.
Alternos:
• Sin candidatos sobre el umbral, escala a búsqueda especializada.
• Si la imagen no permite identificación visual, deriva al flujo de búsqueda manual.",
User Story,Realizar búsqueda especializada de carta,Yo como Submitter quiero que cuando la búsqueda rápida no resuelva el sistema realice una búsqueda más profunda para entonces aumentar la probabilidad de identificación automática.,"• Búsqueda especializada con algoritmo más profundo, ejecutada solo cuando la rápida no resuelve.
• Devuelve top 3 candidatos con su confianza.
• Si el top supera el umbral, se acepta automáticamente.
Alternos:
• Sin candidatos sobre el umbral, se solicita confirmación manual o se deriva a búsqueda manual.",
User Story,Confirmar identidad de la carta,Yo como Submitter quiero confirmar la identidad propuesta o seleccionar la correcta del catálogo para entonces asegurar que la evaluación se hace sobre mi carta real.,"• El sistema presenta el candidato top con imagen, nombre, set, edición y acabado para confirmar.
• La confirmación avanza al siguiente paso del flujo.
• Si el usuario corrige seleccionando otra carta, la identidad corregida se usa y el desacuerdo se persiste para mejorar el algoritmo.
Alternos:
• Si ninguna opción coincide con la carta del usuario, se ofrece subir una nueva foto o pasar a búsqueda manual.",
User Story,"Buscar carta por metadata (set, número, edición, idioma, acabado)",Yo como Submitter quiero buscar mi carta ingresando manualmente su metadata para entonces evitar el flujo de identificación visual cuando ya conozco la carta exacta.,"• Búsqueda combinando uno o varios criterios: set, número, edición, idioma, acabado y nombre.
• Al menos un criterio debe ingresarse antes de ejecutar la búsqueda.
• Resultados con miniatura para verificación visual, ordenados por relevancia respecto a los criterios.
Alternos:
• Sin matches: el sistema muestra estado vacío y ofrece tres caminos al usuario — (a) refinar o agregar criterios para reintentar, (b) cambiar al flujo de identificación visual capturando o subiendo nuevamente las imágenes, (c) reportar la carta como ‘no catalogada’ para que un Admin la incorpore (la solicitud queda pendiente y el usuario es notificado cuando esté disponible).
• Cartas inactivas del catálogo no aparecen en los resultados.
• Si los criterios son muy genéricos y los resultados exceden un máximo razonable, el sistema solicita refinar antes de mostrar la lista.",
User Story,Seleccionar carta de los resultados y adjuntar imágenes,Yo como Submitter quiero seleccionar la carta correcta de los resultados de búsqueda manual para entonces asociarla a las imágenes que ya capturé y continuar con la evaluación.,"• El usuario selecciona una carta de los resultados de la búsqueda manual.
• Si las imágenes ya fueron capturadas y validadas previamente en la sesión (porque la identificación automática falló o el usuario optó por path manual tras capturar), se asocian a la identidad seleccionada y la evaluación continúa.
• Si el usuario llegó a la búsqueda manual sin imágenes capturadas en la sesión, el sistema lo redirige al flujo de captura para que las suba; al volver, la identidad seleccionada permanece asociada.
• Tras la asociación se persiste el path de identificación como ‘manual’ para trazabilidad y mejora del algoritmo automático.
Alternos:
• Si el usuario cancela tras seleccionar, no se asocia identidad y puede volver a buscar; las imágenes capturadas se conservan en la sesión.
• Si el usuario decide que la carta seleccionada es incorrecta tras asociar, puede deshacer la selección y elegir otra antes de iniciar la evaluación.",
User Story,Ver listado de solicitudes de PokéGrading por Auto-Reporte Estructurado,Yo como Admin o Reviewer quiero ver el listado de evaluaciones cuyo path de identificación fue manual para entonces monitorear el uso del flujo manual (Admin) o priorizar revisión humana en casos donde la identidad fue declarada por el usuario (Reviewer).,"• Lista de evaluaciones cuyo path de identificación fue manual (auto-reporte estructurado).
• Filtros por fecha, plan del usuario, estado de la evaluación, motivo de derivación al flujo manual y resultado.
• Cada elemento navega al detalle de la evaluación.
• Para Admin: foco en métricas operativas (volumen, tasa de éxito, comparación con flujo automático).
• Para Reviewer: foco en cartas con identidad auto-reportada que pueden requerir verificación cruzada al revisar grado.
Alternos:
• Sin solicitudes en el rango filtrado, estado vacío.
• Si la lista falla al cargar, se ofrece reintentar.",
User Story,"Preprocesar carta (corrección de perspectiva, recorte, normalización y segmentación en ROIs)",Yo como sistema quiero preprocesar automáticamente las imágenes recibidas de la carta para entonces poder operar sobre datos consistentes y comparables en el cálculo posterior del grado.,"• Corrección de perspectiva, recorte al borde de la carta y normalización de color.
• Segmentación en cuatro regiones: centering, corners, edges y surface.
• Si el preprocesamiento es exitoso, el flujo avanza a extracción de features.
Alternos:
• Si no se puede aislar la carta del fondo, se deriva a calificación manual.
• Si la imagen tiene distorsiones imposibles de corregir, se rechaza y se solicita recapturar.",
User Story,Extraer features por ROI (métricas geométricas y de superficie),Yo como sistema quiero extraer automáticamente las métricas geométricas y de superficie por región de la carta preprocesada para entonces alimentar al motor de calificación con insumos cuantitativos consistentes.,"• Por cada ROI se calculan métricas geométricas (centering, alineación, simetría) y de superficie (rayones, manchas, defectos de impresión).
• Las métricas se asocian a la evaluación para trazabilidad.
Alternos:
• Si una región tiene insumos insuficientes, se reporta como ‘datos incompletos’ y la evaluación se deriva a calificación manual.",
User Story,Calificar carta,Yo como Submitter quiero recibir un grado estimado de mi carta basado en métricas objetivas para entonces saber si vale la pena enviarla a grading profesional.,"• Subgrade por dimensión (centering, corners, edges, surface) en escala 1.0–10.0.
• Selección del baseline calibrado según (set, acabado) cuando hay ground truth suficiente; fallback al baseline global registrado en el output.
• Regla de coherencia: el grado final no excede el subgrade más bajo + 0.5.
• El resultado incluye la banda de incertidumbre asociada.
• La evaluación se persiste con el identificador exacto de versión del algoritmo y queda inmutable: liberar una versión nueva no la modifica.
• La operación es idempotente: reintentar el envío con la misma carta y sesión no genera evaluaciones duplicadas.
Alternos:
• Si algún subgrade no puede calcularse con insumos suficientes, la carta se deriva a calificación manual.
• Si el resultado contradice umbrales mínimos de coherencia interna, se deriva a revisión humana.",
User Story,Solicitar calificación manual ante imposibilidad o por solicitud del usuario,Yo como Submitter o como sistema quiero solicitar calificación manual cuando el motor automático no pueda procesar la carta o cuando un usuario Pro lo pida para entonces no perder cartas y atender necesidades especiales.,"• Encolado a la cola de calificación humana con motivo registrado: imposibilidad técnica del motor automático o solicitud explícita de un usuario Pro.
• La carta queda en estado ‘en calificación manual’ y se notifica al usuario con SLA esperado.
Alternos:
• Cola saturada: se informa al usuario un SLA mayor al estándar.
• Si el usuario no es Pro y solicita calificación manual sin disparador del sistema, se rechaza.",
User Story,Mostrar estado del procesamiento al usuario con tiempo estimado,Yo como Submitter quiero ver el estado del procesamiento de mi carta con un tiempo estimado para entonces saber qué esperar y no quedarme bloqueado en una pantalla en blanco.,"• Tras enviar, se muestra el avance por etapas: identificando, validando, extrayendo, calificando, consultando precio.
• Cada etapa muestra un tiempo estimado basado en la carga actual.
• El usuario puede salir y volver y el estado sigue actualizado.
Alternos:
• Si el sistema está saturado y el tiempo supera el SLA estándar, se ofrece recibir el resultado por correo cuando esté listo.
• Si una etapa falla, se muestra el motivo y los siguientes pasos (reintento o derivación a humano).",
